lat,lng,Place,Country,Language,Year,Translator,img,Title,Publisher,Address,Comments
30.0528652167,31.2310929733,Cairo,Egypt,Arabic,1965,Nour el-Dimerdash,https://raw.githubusercontent.com/digitalkoine/arabic_storymap/main/arabic/1965.Dimerdash.jpg,Jane Eyre,Egyptian Radio Station,Cairo. Egypt,Translated for radio broadcast
33.8553869794,35.5009480107,Beirut,Lebanon,Arabic,1984 and 2001,Unnamed group of translators,https://raw.githubusercontent.com/digitalkoine/arabic_storymap/main/arabic/1984%20and%202001.Unnamed%20Group.jpg,Jane Eyre. or A Tale of an Orphan,Al-Maarif Press,Beirut. Lebanon,
33.8817419427,35.490870955,Beirut,Lebanon,Arabic,1985,Munir al-Baalbaki,https://raw.githubusercontent.com/digitalkoine/arabic_storymap/main/arabic/1985.al-Baalbaki.jpg,Jane Eyre,Dar al-Ilm lil Malaayiin,Beirut. Lebanon,
30.0340886645,31.2400010795,Cairo,Egypt,Arabic,1993,Unspecified,https://raw.githubusercontent.com/digitalkoine/arabic_storymap/main/arabic/1993.Unspecified.jpg,Jane Eyre,Dar al-Hilal,Cairo. Egypt,
30.0481661584,31.2423767993,Cairo,Egypt,Arabic,1996,Translated and edited by Nabil Raaghib,https://raw.githubusercontent.com/digitalkoine/arabic_storymap/main/arabic/1996.Raaghib.gif,Jane Eyre,Al-Gharib Publishing House,Central Cairo. Egypt,Bilingual edition. 616 pages in length
30.0598037948,31.2473967434,Cairo,Egypt,Arabic,2004,Sabri al-Fadl,https://raw.githubusercontent.com/digitalkoine/arabic_storymap/main/arabic/2004.al-Fadl.jpg,Jane Eyre,Al Usra Press,Cairo. Egypt,Youth Edition
33.5693391823,-7.6249223484,Beirut and Casablanca,Lebanon and Morocco,Arabic,2005,Munir al-Baalbaki,https://raw.githubusercontent.com/digitalkoine/arabic_storymap/main/arabic/2005.al-Baalbaki.jpg,Jane Eyre,The Arab Cultural Centre,Beirut. Lebanon and Casablanca. Morocco,
31.9495392225,35.9399650477,Amman,Jordan,Arabic,2005,Samir Ezzat Nassar,https://raw.githubusercontent.com/digitalkoine/arabic_storymap/main/arabic/2005.Nassar.jpg,Jane Eyre,Al-Ahliya Press,Al-Hussein Street. Building 12. Amman. Jordan,
33.5432007019,36.3254733636,Damascus and Cairo,Syria and Egypt,Arabic,2007,Anonymous,https://raw.githubusercontent.com/digitalkoine/arabic_storymap/main/arabic/2007.Unspecified.png,Jane Eyre,Dar al-Bihar and Dar Wa Maktabat al-Hilal,Damascus. Syria and Cairo. Egypt,Bilingual English-Arabic edition
33.8893407627,35.5008575639,Beirut,Lebanon,Arabic,2010,Rihab Akaawi,https://raw.githubusercontent.com/digitalkoine/arabic_storymap/main/arabic/2010.Akaawi.jpg,Jane Eyre,Dar al-Harf al-Arabi,Beirut. Lebanon,479 pages
31.192681747,29.9187923575,Cairo and Alexandria,Egypt,Arabic,2012,Hilme al-Mourad,https://raw.githubusercontent.com/digitalkoine/arabic_storymap/main/arabic/2012.Mourad.gif,Jane Eyre,Modern Arab Foundation,Cairo and Alexandria. Egypt,Serialised in three volumes
29.3672455962,47.9792891636,Kuwait City,Kuwait,Arabic,2014,Amal al-Rifayii,https://raw.githubusercontent.com/digitalkoine/arabic_storymap/main/arabic/2014.al-Rifayii.png,Jane Eyre,Nashiri Publishing House for Electronic Publication,Kuwait City. Kuwait,Electronic version
30.003594788,31.1984232449,Giza,Egypt,Arabic,2016,Unspecified,https://raw.githubusercontent.com/digitalkoine/arabic_storymap/main/arabic/2016.Unspecified1.jpg,Jane Eyre,Bayt al-Lughaat al-Duwaliyya,39 Khatem Al Morsaleen St.. Omrany. Giza. Egypt,Bilingual edition used to teach English
25.250822432,55.3408550597,Dubai,United Arab Emirates,Arabic,2016,Unspecified,https://raw.githubusercontent.com/digitalkoine/arabic_storymap/main/arabic/2016.Unspecified2.jpg,Jane Eyre,Dar Al Hudhod Publishing and Distribution,13 57th St. Garhoud. Dubai. United Arab Emirates,Translation of a simplified original (English) version of a graphic novel; 64 pages; author listed as Jill Tavens; no translator named
36.1842533571,37.1536927976,Aleppo,Syria,Arabic,2017,Ahmed Nabil al-Ansari,https://raw.githubusercontent.com/digitalkoine/arabic_storymap/main/arabic/2017.al-Ansari.jpg,Jane Eyre,Dar al-Nahj/Dar al-Firdus,Aleppo. Syria,Abridged version
31.9495392225,35.9399650477,Amman,Jordan,Arabic,2017,Yousif Ata al-Tarifi,https://raw.githubusercontent.com/digitalkoine/arabic_storymap/main/arabic/2017.Al-Tarifi.jpg,Jane Eyre,Al-Ahliya Press,Al-Hussein Street. Building 12. Amman. Jordan,
30.0374884089,31.2323820231,Cairo,Egypt,Arabic,Unspecified,Hilme Mourad,https://raw.githubusercontent.com/digitalkoine/arabic_storymap/main/arabic/2017.al-Ansari.jpg,Jane Eyre,Dar al-Tanuwiir,2 Sarraya El Kobra St.. Cairo. Egypt,
